title,rating,currency,price,image_src,url
Amazon Basics DE-Layout Flat USB Wired Keyboard Matte Black,4.7,€,17.09,https://m.media-amazon.com/images/I/71XjbTEw1sL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.de/-/en/sspa/click?ie=UTF8&spc=MTo4ODI2NzAwODEzMTI1MzUwOjE3Mzg4NTc0NzY6c3BfYXRmOjMwMDQzODM1MDExMDEzMjo6MDo6&url=%2FAmazon-Basics-Layout-Wired-Keyboard%2Fdp%2FB0CSYSYYHW%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.J5-h7Gaf0lPff2DOHQUdPqXGbzQvlPpgX5ycxWRQQkMX2F6hYhgSxYPutt3sbZRZ3soSfJPmJEdr1smfhoPyinjhqKV6bsAhg0oOm0QEc33bqHqQgT5Nm-3TYStWrAj70VYXmGjsPw4bI9c-onIxgBtVntLW-OKRV8IGbivV1AUhnZ1oIaeMSgK3gIb2ROJKfn1addR_DrRmGI1ieJLB78aKonL2VImXXapyhBNAOhk.FlgGPBeH8Aea8SHImWsy3zrJ0i4hg6l_HgNhfkZsQEE%26dib_tag%3Dse%26keywords%3Dgaming%2Bkeyboard%26qid%3D1738857476%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Nyfter - 75% Gaming Keyboard - NYFBOARD GEN2 Gaming Computer Keyboard with Gateron Yellow Switches - Hot-Swappable Mechanical RGB Backlight ISO DE Layout for Gamers (White, 75%)",4.5,€,139.0,https://m.media-amazon.com/images/I/71vGF+iyTIL._AC_SY300_SX300_.jpg,https://www.amazon.de/-/en/sspa/click?ie=UTF8&spc=MTo4ODI2NzAwODEzMTI1MzUwOjE3Mzg4NTc0NzY6c3BfYXRmOjMwMDQzMjAxNzIwNDMzMjo6MDo6&url=%2FNyfter-Keyboard-Hot-Swappable-Mechanical-Backlight%2Fdp%2FB0CB91GHQM%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.J5-h7Gaf0lPff2DOHQUdPqXGbzQvlPpgX5ycxWRQQkMX2F6hYhgSxYPutt3sbZRZ3soSfJPmJEdr1smfhoPyinjhqKV6bsAhg0oOm0QEc33bqHqQgT5Nm-3TYStWrAj70VYXmGjsPw4bI9c-onIxgBtVntLW-OKRV8IGbivV1AUhnZ1oIaeMSgK3gIb2ROJKfn1addR_DrRmGI1ieJLB78aKonL2VImXXapyhBNAOhk.FlgGPBeH8Aea8SHImWsy3zrJ0i4hg6l_HgNhfkZsQEE%26dib_tag%3Dse%26keywords%3Dgaming%2Bkeyboard%26qid%3D1738857476%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Logitech G213 Gaming Keyboard Prodigy, RGB lighting, programmable G-keys, multimedia controls, integrated palm rest, splashproof, German QWERTY layout, Black",4.3,€,48.99,https://m.media-amazon.com/images/I/61Xdh1myP2L.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.de/-/en/G213-programmable-multimedia-integrated-splashproof/dp/B01L6L46LK/ref=sr_1_3?dib=eyJ2IjoiMSJ9.J5-h7Gaf0lPff2DOHQUdPqXGbzQvlPpgX5ycxWRQQkMX2F6hYhgSxYPutt3sbZRZ3soSfJPmJEdr1smfhoPyinjhqKV6bsAhg0oOm0QEc33bqHqQgT5Nm-3TYStWrAj70VYXmGjsPw4bI9c-onIxgBtVntLW-OKRV8IGbivV1AUhnZ1oIaeMSgK3gIb2ROJKfn1addR_DrRmGI1ieJLB78aKonL2VImXXapyhBNAOhk.FlgGPBeH8Aea8SHImWsy3zrJ0i4hg6l_HgNhfkZsQEE&dib_tag=se&keywords=gaming+keyboard&qid=1738857476&sr=8-3
"CORSAIR K55 RGB PRO Wired Membrane Gaming Keyboard (Dynamic RGB Backlight, 6 Macro Keys with Elgato Software Integration, IP42 Dust and Splash Protection), QWERTZ, Black.",4.5,€,47.99,https://m.media-amazon.com/images/I/81XWGUGvNVL.__AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.de/-/en/Membrane-Keyboard-Backlight-Integration-Protection/dp/B08Y62LBR2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.J5-h7Gaf0lPff2DOHQUdPqXGbzQvlPpgX5ycxWRQQkMX2F6hYhgSxYPutt3sbZRZ3soSfJPmJEdr1smfhoPyinjhqKV6bsAhg0oOm0QEc33bqHqQgT5Nm-3TYStWrAj70VYXmGjsPw4bI9c-onIxgBtVntLW-OKRV8IGbivV1AUhnZ1oIaeMSgK3gIb2ROJKfn1addR_DrRmGI1ieJLB78aKonL2VImXXapyhBNAOhk.FlgGPBeH8Aea8SHImWsy3zrJ0i4hg6l_HgNhfkZsQEE&dib_tag=se&keywords=gaming+keyboard&qid=1738857476&sr=8-4
"YINDIAO Ajazz AK820 Mechanical Keyboard with Button, 75% ANSI Layout, 81 Keys, Wired Gaming Keyboard, Improved Seal Assembly, Hot-Swap Red Switch, Ice White Light, for PC, Mac (Grey & White)",4.5,€,55.99,https://m.media-amazon.com/images/I/615ign017KL.__AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.de/-/en/AK820-Mechanical-Keyboard-Improved-Assembly/dp/B0CQKL2QRS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.J5-h7Gaf0lPff2DOHQUdPqXGbzQvlPpgX5ycxWRQQkMX2F6hYhgSxYPutt3sbZRZ3soSfJPmJEdr1smfhoPyinjhqKV6bsAhg0oOm0QEc33bqHqQgT5Nm-3TYStWrAj70VYXmGjsPw4bI9c-onIxgBtVntLW-OKRV8IGbivV1AUhnZ1oIaeMSgK3gIb2ROJKfn1addR_DrRmGI1ieJLB78aKonL2VImXXapyhBNAOhk.FlgGPBeH8Aea8SHImWsy3zrJ0i4hg6l_HgNhfkZsQEE&dib_tag=se&keywords=gaming+keyboard&qid=1738857476&sr=8-5
"Dierya DK61se Gaming Keyboard, 60% Percent Mechanical Keyboard with Blue Clicky Switch, Ultra Compact Mini 61 Keys Anti-Ghosting, Type C Data Cable, US Layout for PC, Windows, Gamer Typist, White",4.4,€,29.99,https://m.media-amazon.com/images/I/61-RqmZ0OIL.__AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.de/-/en/sspa/click?ie=UTF8&spc=MToyOTc2OTMzMjE1MTgyMjk3OjE3Mzg4NTc0NzY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDExNjU3OTYzMjAzMjo6MTo6&url=%2FDK61se-Keyboard-Percent-Mechanical-Anti-Ghosting%2Fdp%2FB0B4W56269%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.bd7022a0-e4dd-4343-b466-cbf492e38a12%253Aamzn1.sym.bd7022a0-e4dd-4343-b466-cbf492e38a12%26cv_ct_cx%3Dgaming%2Bkeyboard%26keywords%3Dgaming%2Bkeyboard%26pd_rd_i%3DB0B4W56269%26pd_rd_r%3Dfada37b1-005a-425a-9bac-acfb35f86a9e%26pd_rd_w%3D63GLa%26pd_rd_wg%3D45ECr%26pf_rd_p%3Dbd7022a0-e4dd-4343-b466-cbf492e38a12%26pf_rd_r%3DDPXE9X1SASG2STGYPEZ7%26qid%3D1738857476%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-0bff13d2-7188-4a82-bb3a-ccd1e70f0167-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"RedThunder 60% RGB Wired Gaming Keyboard and Mouse Set, 7200 DPI Mouse, Mini Gaming Keyboard, 62 Keyboard, DE Layout, Ultralight with Honeycomb Construction for PC Mac PS5 Xbox Gamer (White)",4.3,€,39.99,https://m.media-amazon.com/images/I/71zZcu68tXL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.de/-/en/sspa/click?ie=UTF8&spc=MToyOTc2OTMzMjE1MTgyMjk3OjE3Mzg4NTc0NzY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM1OTM4NTE4MzQzMjo6Mjo6&url=%2FRedThunder-Keyboard-Ultralight-Honeycomb-Construction%2Fdp%2FB0D4QMKS96%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.bd7022a0-e4dd-4343-b466-cbf492e38a12%253Aamzn1.sym.bd7022a0-e4dd-4343-b466-cbf492e38a12%26cv_ct_cx%3Dgaming%2Bkeyboard%26keywords%3Dgaming%2Bkeyboard%26pd_rd_i%3DB0D4QMKS96%26pd_rd_r%3Dfada37b1-005a-425a-9bac-acfb35f86a9e%26pd_rd_w%3D63GLa%26pd_rd_wg%3D45ECr%26pf_rd_p%3Dbd7022a0-e4dd-4343-b466-cbf492e38a12%26pf_rd_r%3DDPXE9X1SASG2STGYPEZ7%26qid%3D1738857476%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-0bff13d2-7188-4a82-bb3a-ccd1e70f0167-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"RK ROYAL KLUDGE M75 Gaming Keyboard Wireless, 75% Percent TKL Mechanical Keyboard, RGB, 2.4GHz Wireless/Bluetooth/USB-C, QWERTZ with OLED Smart Display and Button, Hot-Swappable Brown Switch, Grey",4.5,€,129.99,https://m.media-amazon.com/images/I/61fPkzVh+AL._AC_SY300_SX300_.jpg,https://www.amazon.de/-/en/sspa/click?ie=UTF8&spc=MToyOTc2OTMzMjE1MTgyMjk3OjE3Mzg4NTc0NzY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIxODUwMTkyMTkzMjo6Mzo6&url=%2FM75-Keyboard-Mechanical-Bluetooth-Hot-Swappable%2Fdp%2FB0CB476ND7%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.bd7022a0-e4dd-4343-b466-cbf492e38a12%253Aamzn1.sym.bd7022a0-e4dd-4343-b466-cbf492e38a12%26cv_ct_cx%3Dgaming%2Bkeyboard%26keywords%3Dgaming%2Bkeyboard%26pd_rd_i%3DB0CB476ND7%26pd_rd_r%3Dfada37b1-005a-425a-9bac-acfb35f86a9e%26pd_rd_w%3D63GLa%26pd_rd_wg%3D45ECr%26pf_rd_p%3Dbd7022a0-e4dd-4343-b466-cbf492e38a12%26pf_rd_r%3DDPXE9X1SASG2STGYPEZ7%26qid%3D1738857476%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-0bff13d2-7188-4a82-bb3a-ccd1e70f0167-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"ASUS ROG Azoth Wireless Mechanical Gaming Keyboard (75% Form Factor, ROG NX Switches, PBT Doubleshot Keycaps, OLED Display, Bluetooth, 2.4GHz RF Wireless, USB, DE QWERTZ Layout) Black",4.5,€,233.9,https://m.media-amazon.com/images/I/71Fq1PthJCL.__AC_SY300_SX300_QL70_ML2_.jpg,https://www.amazon.de/-/en/sspa/click?ie=UTF8&spc=MToyOTc2OTMzMjE1MTgyMjk3OjE3Mzg4NTc0NzY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA1MzU1ODE2MzgzMjo6NDo6&url=%2FWireless-Mechanical-Keyboard-Doubleshot-Bluetooth%2Fdp%2FB0BSGT4CYH%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.bd7022a0-e4dd-4343-b466-cbf492e38a12%253Aamzn1.sym.bd7022a0-e4dd-4343-b466-cbf492e38a12%26cv_ct_cx%3Dgaming%2Bkeyboard%26keywords%3Dgaming%2Bkeyboard%26pd_rd_i%3DB0BSGT4CYH%26pd_rd_r%3Dfada37b1-005a-425a-9bac-acfb35f86a9e%26pd_rd_w%3D63GLa%26pd_rd_wg%3D45ECr%26pf_rd_p%3Dbd7022a0-e4dd-4343-b466-cbf492e38a12%26pf_rd_r%3DDPXE9X1SASG2STGYPEZ7%26qid%3D1738857476%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-0bff13d2-7188-4a82-bb3a-ccd1e70f0167-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"TECKNET RGB Gaming Keyboard for PC, Membrane Keyboard with 105 Keys, Full Metal Pane, Wrist Rest, 15-Zone RGB Lighting, 25 Anti-Ghosting Keys, Computer Keyboard, German Layout (QWERTZ)",4.2,€,27.99,https://m.media-amazon.com/images/I/814O1+CnRxL._AC_SY300_SX300_.jpg,https://aax-eu.amazon.de/x/c/JGpEF72hGHbD0cWuEeTPsZoAAAGU2_txswMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDIgICDfLDD3/clv1_CEuOPUxokZA0iHrVU-QU8zzZbUF3SYIPpJ5bz2GvsvNwx38wnnLvWPw18HHE8xvVjq0yzpNb3XPFfU2LA3t3BHFTKSi8J8boK3sdbx1LFn7kDINzxYgc6JJGZySDqnsR9xkbr4Br3LDj6Z36d53dHO-B1O-o8u418-yurHJBmX-UtL6LkRJjARjlbtq3aulwWS5afMGZl51EXjYzZtRQYOURlsXukt89DgPXNqpanwYWpp5lh66uXA8vgUT9z1VAASW3cOTUuxUr2VFfIMlsc1HtNDCbuj33Nful-q-oa6AWBAeJ9-S-9Aqaewz2IraJgMsC--2yI_QS-baratK7JNVY_Nh5TmZqo_xE9v5AO4JyySpyJ1-O9x2p5IodZE6VWTdVqU2hkmcljRzdIZqjc05yc7_Rv_xwTuIOE256lQOYZI0o1tPv35szESVF-JXAq1vrFk0/https://www.amazon.de/Keyboard-Membrane-Lighting-Anti-Ghosting-Computer/dp/B0D2KL45P5/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.cc32b59c-5f85-4246-aed2-f2941bc7caaa%3Aamzn1.sym.cc32b59c-5f85-4246-aed2-f2941bc7caaa&cv_ct_cx=gaming+keyboard&keywords=gaming+keyboard&pd_rd_i=B0D2KL45P5&pd_rd_r=fada37b1-005a-425a-9bac-acfb35f86a9e&pd_rd_w=JtHwp&pd_rd_wg=45ECr&pf_rd_p=cc32b59c-5f85-4246-aed2-f2941bc7caaa&pf_rd_r=DPXE9X1SASG2STGYPEZ7&qid=1738857476&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-03f1ca03-957a-4556-8bd9-71f94c5e21a6
